Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
2018-11-06,0,14,17.4,50,2.4,336,6.8,1.52,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,15,16.3,54,1.6,374,6.9,0.76,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,16,16.6,55,1.3,334,7.5,0.66,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,17,15.3,63,1.2,260,8.2,0.23,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,18,14.0,71,1.5,201,8.8,0.01,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,19,13.3,72,1.1,234,8.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,20,13.2,73,1.1,246,8.4,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,21,13.0,76,0.9,231,8.8,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,22,12.3,73,1.2,277,7.5,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,23,12.2,74,1.1,291,7.6,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,0,12.0,96,3.1,1185,11.3,0.0,18.0,0.0,Autumn,No Holiday,No
2018-11-09,0,1,11.4,89,2.6,1376,9.6,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,2,11.3,88,3.7,1680,9.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,3,10.8,82,2.8,1712,7.8,0.0,0.5,0.0,Autumn,No Holiday,No
2018-11-09,0,4,10.6,75,3.2,913,6.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,5,10.9,68,3.1,1034,5.2,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,6,11.0,70,3.1,900,5.7,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,7,10.4,81,3.0,1741,7.2,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,8,10.1,85,2.4,1809,7.6,0.05,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,9,10.8,78,2.6,1985,7.1,0.13,0.5,0.0,Autumn,No Holiday,No
2018-11-09,0,10,11.3,68,4.7,1984,5.5,0.44,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,11,13.3,59,4.1,1970,5.4,1.43,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,12,13.9,50,4.1,1964,3.6,2.14,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,13,14.0,46,5.3,927,2.5,1.68,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,14,15.0,49,2.8,518,4.3,1.53,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,15,15.1,52,3.4,622,5.3,1.3,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,16,14.3,59,3.6,858,6.3,0.72,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,17,12.9,66,3.6,682,6.6,0.32,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,18,12.3,69,2.1,623,6.7,0.01,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,19,11.9,71,2.7,589,6.7,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,20,11.9,72,2.5,526,7.0,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,21,11.4,74,1.9,498,6.9,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,22,11.2,75,1.7,478,6.9,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-09,0,23,10.9,76,1.2,456,6.8,0.0,0.0,0.0,Autumn,No Holiday,No
